Image Name," ""Image Plane"""," ""Image Date and Time"""," ""Elapsed Time"""," ""Stage Label"""," ""Wavelength"""," ""Object #"""," ""Frame #"""," ""X"""," ""Y"""," ""Distance"""," ""Time Interval"""," ""Velocity"""," ""Absolute Angle"""," ""Distance To Origin"""," ""Delta X"""," ""Delta Y"""," ""Avgerage Intensity"""," ""Intensity S.D."""," ""Minimum Intensity"""," ""Maximum Intensity"""," ""Total Intensity"""
Test_set,1," ""16:38:16.347"""," ""00:00:00.000"""," ""No Label""",0,1,1,62.0629,330.987,0,0,0,0,336.755, , ,2087.7,1614.14,542,6061,1.65E+06
Test_set,2," ""16:38:16.349"""," ""00:00:00.002"""," ""No Label""",0,1,2,61.4962,331.061,0.571494,0.002,285.747,-82.5412,336.724, , ,2353.23,1690.26,572,6268,1.86E+06
Test_set,3," ""16:38:16.351"""," ""00:00:00.004"""," ""No Label""",0,1,3,61.6511,331.059,0.154836,0.002,77.4178,90.5986,336.751, , ,2335.74,1680.95,516,5939,1.85E+06
Test_set,4," ""16:38:16.354"""," ""00:00:00.007"""," ""No Label""",0,1,4,62.5325,331.15,0.885992,0.003,295.331,84.1622,337.002, , ,2295.28,1647.31,563,5879,1.82E+06
Test_set,5," ""16:38:16.356"""," ""00:00:00.009"""," ""No Label""",0,1,5,63.6838,331.216,1.15323,0.002,576.614,86.7157,337.282, , ,2306.05,1641.32,501,5859,1.83E+06
Test_set,6," ""16:38:16.359"""," ""00:00:00.012"""," ""No Label""",0,1,6,64.8156,331.301,1.13506,0.003,378.354,85.6765,337.582, , ,2270.65,1632.09,418,5831,1.80E+06
Test_set,7," ""16:38:16.362"""," ""00:00:00.015"""," ""No Label""",0,1,7,65.7638,331.315,0.948241,0.003,316.08,89.1444,337.779, , ,2232.09,1620.34,385,5629,1.77E+06
Test_set,8," ""16:38:16.364"""," ""00:00:00.017"""," ""No Label""",0,1,8,66.6561,331.323,0.892361,0.002,446.181,89.4926,337.962, , ,2161.27,1589.43,367,5660,1.71E+06
Test_set,9," ""16:38:16.366"""," ""00:00:00.019"""," ""No Label""",0,1,9,67.3665,331.163,0.728228,0.002,364.114,102.695,337.946, , ,2171.3,1540.05,236,5640,1.72E+06
Test_set,10," ""16:38:16.369"""," ""00:00:00.022"""," ""No Label""",0,1,10,67.4003,331.199,0.0495826,0.003,16.5275,42.9611,337.988, , ,2162.97,1463.63,394,5379,1.71E+06
Test_set,11," ""16:38:16.372"""," ""00:00:00.025"""," ""No Label""",0,1,11,67.5133,331.274,0.135161,0.003,45.0538,56.6939,338.083, , ,2083.07,1504.3,396,5493,1.65E+06
Test_set,12," ""16:38:16.374"""," ""00:00:00.027"""," ""No Label""",0,1,12,68.3523,331.228,0.840267,0.002,420.134,93.0938,338.207, , ,2154.13,1571.13,366,5608,1.71E+06
Test_set,13," ""16:38:16.377"""," ""00:00:00.030"""," ""No Label""",0,1,13,68.4126,331.308,0.100203,0.003,33.401,36.9502,338.298, , ,2216.4,1616.27,366,5659,1.76E+06
Test_set,14," ""16:38:16.379"""," ""00:00:00.032"""," ""No Label""",0,1,14,68.753,331.362,0.344661,0.002,172.33,81.0553,338.42, , ,2167.63,1595.52,372,5640,1.72E+06
