Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
tubo3_R3D.dv - C=1,1,02:30.6,00:00.0,No Label,0,1,1,98.06075287,301.8460693,0,0,0,0,317.3751106,0,0,20639.86267,15708.41426,4271,53564,15479897
tubo3_R3D.dv - C=1,2,02:30.6,00:00.0,No Label,0,1,2,98.16957092,301.6083679,0.261425577,4,0.065356394,155.4021541,317.1827112,0.108818054,-0.237701416,21306.328,15352.74938,4736,52482,15979746
tubo3_R3D.dv - C=1,3,02:30.6,00:00.0,No Label,0,1,3,98.94241333,301.1162109,0.916244444,4,0.229061111,122.4896645,316.9551603,0.772842407,-0.492156982,21863.78,15791.58712,4471,52269,16397835
tubo3_R3D.dv - C=1,4,02:30.6,00:00.1,No Label,0,1,4,100.1446457,300.7096252,1.269123546,4,0.317280887,108.6852313,316.9467286,1.202232361,-0.406585693,22090.80667,15704.03203,4495,52623,16568105
tubo3_R3D.dv - C=1,5,02:30.6,00:00.1,No Label,0,1,5,101.1278,300.2308655,1.093527908,4,0.273381977,115.9644665,316.8049945,0.983154297,-0.478759766,21965.13867,15574.26482,3814,53105,16473854
tubo3_R3D.dv - C=1,6,02:30.6,00:00.1,No Label,0,1,6,102.2892685,299.856842,1.220205975,4,0.305051494,107.8500164,316.8236421,1.161468506,-0.374023438,22772.26,15607.00494,4607,52339,17079195
tubo3_R3D.dv - C=1,7,02:30.7,00:00.1,No Label,0,1,7,103.6670914,299.1894226,1.530961978,4,0.382740494,115.845714,316.6404529,1.377822876,-0.667419434,21809.16133,15590.86211,4245,52120,16356871
tubo3_R3D.dv - C=1,8,02:30.7,00:00.1,No Label,0,1,8,105.3208542,298.7879944,1.701786142,4,0.425446536,103.6439669,316.8071147,1.653762817,-0.401428223,21887.94,15380.50217,4235,51259,16415955
tubo3_R3D.dv - C=1,9,02:30.7,00:00.1,No Label,0,1,9,106.5132446,298.1896973,1.334074364,4,0.333518591,116.6458917,316.6420169,1.192390442,-0.598297119,20872.64267,15248.72734,4424,52347,15654482
tubo3_R3D.dv - C=1,10,02:30.7,00:00.1,No Label,0,1,10,107.8995438,297.6464539,1.488938779,4,0.372234695,111.3986151,316.6002575,1.386299133,-0.543243408,20771.72,14872.10238,4085,50307,15578790
tubo3_R3D.dv - C=1,11,02:30.7,00:00.1,No Label,0,1,11,109.3380127,297.01828,1.569648123,4,0.392412031,113.5908038,316.5038068,1.438468933,-0.628173828,21574.72267,15415.08963,4198,51446,16181042
tubo3_R3D.dv - C=1,12,02:30.7,00:00.1,No Label,0,1,12,110.6668243,296.3277893,1.497503866,4,0.374375966,117.4578522,316.3183598,1.328811646,-0.690490723,20570.50533,15301.64323,4131,52046,15427879
tubo3_R3D.dv - C=1,13,02:30.7,00:00.1,No Label,0,1,13,112.3388824,295.7041321,1.784580243,4,0.446145061,110.4549936,316.3241348,1.672058105,-0.623657227,21651.85067,15397.35325,3927,51902,16238888
tubo3_R3D.dv - C=1,14,02:30.7,00:00.1,No Label,0,1,14,113.6189346,295.0346375,1.444561059,4,0.361140265,117.6106273,316.1561317,1.280052185,-0.669494629,21334.168,15480.48792,4357,51662,16000626
tubo3_R3D.dv - C=1,15,02:30.7,00:00.1,No Label,0,1,15,115.1739273,294.6510925,1.601595745,4,0.400398936,103.8557467,316.3610277,1.554992676,-0.383544922,21998.24267,14950.37751,4175,53125,16498682
tubo3_R3D.dv - C=1,16,02:30.7,00:00.1,No Label,0,1,16,116.8411865,293.027771,2.326999376,4,0.581749844,134.2351134,315.4633694,1.667259216,-1.623321533,20575.99467,15052.36448,4361,49881,15431996
tubo3_R3D.dv - C=1,17,02:30.7,00:00.1,No Label,0,1,17,118.510582,292.3701477,1.794254595,4,0.448563649,111.5010133,315.4759283,1.669395447,-0.657623291,19998.85333,15108.42774,4302,49946,14999140
tubo3_R3D.dv - C=1,18,02:30.7,00:00.1,No Label,0,1,18,120.2447433,291.8240662,1.818109109,4,0.454527277,107.479129,315.6264943,1.734161377,-0.546081543,20467.85867,15204.62623,4281,51361,15350894
tubo3_R3D.dv - C=1,19,02:30.7,00:00.2,No Label,0,1,19,121.1237488,291.3373413,1.004764466,4,0.251191117,118.9743746,315.5129299,0.879005432,-0.486724854,20354.504,15253.9112,4260,50701,15265878
tubo3_R3D.dv - C=1,20,02:30.7,00:00.2,No Label,0,1,20,122.184227,290.8226929,1.178760811,4,0.294690203,115.8873253,315.4470225,1.06047821,-0.514648438,20120.96133,14961.04678,4616,49835,15090721
tubo3_R3D.dv - C=1,21,02:30.7,00:00.2,No Label,0,1,21,123.1664124,290.5748291,1.012978054,4,0.253244513,104.1634956,315.600533,0.982185364,-0.24786377,20194.996,14982.56412,4256,50415,15146247
tubo3_R3D.dv - C=1,22,02:30.7,00:00.2,No Label,0,1,22,124.1071701,290.0883484,1.059098027,4,0.264774507,117.3442989,315.5215358,0.940757751,-0.486480713,20408.94,15363.13318,4445,51553,15306705
tubo3_R3D.dv - C=1,23,02:30.8,00:00.2,No Label,0,1,23,124.7705002,289.7711182,0.735283488,4,0.183820872,115.5590368,315.4916459,0.663330078,-0.317230225,19680.192,14880.63058,4343,48925,14760144
tubo3_R3D.dv - C=1,24,02:30.8,00:00.2,No Label,0,1,24,125.8004074,289.0097656,1.280767967,4,0.320191992,126.4735418,315.2021369,1.029907227,-0.761352539,19866.13733,15062.60944,3733,49973,14899603
tubo3_R3D.dv - C=1,25,02:30.8,00:00.2,No Label,0,1,25,126.9302521,288.6838684,1.175907294,4,0.293976824,106.0899924,315.3564091,1.129844666,-0.325897217,19910.99333,14859.62562,4525,49329,14933245
tubo3_R3D.dv - C=1,26,02:30.8,00:00.2,No Label,0,1,26,128.1345978,287.7988892,1.494535661,4,0.373633915,126.3093565,315.0344041,1.204345703,-0.884979248,20179.74667,14875.53894,4400,51576,15134810
tubo3_R3D.dv - C=1,27,02:30.8,00:00.2,No Label,0,1,27,129.3664856,287.1800232,1.378601712,4,0.344650428,116.6737718,314.9730994,1.231887817,-0.618865967,20567.97867,14833.3213,4682,49477,15425984
tubo3_R3D.dv - C=1,28,02:30.8,00:00.2,No Label,0,1,28,130.9353943,286.1085815,1.899858335,4,0.474964584,124.3301183,314.6461471,1.568908691,-1.07144165,20261.35467,14678.21059,4366,48449,15196016
tubo3_R3D.dv - C=1,29,02:30.8,00:00.2,No Label,0,1,29,132.7058411,284.9561157,2.112500712,4,0.528125178,123.0620712,314.3418969,1.770446777,-1.15246582,19706.02667,14591.96826,4524,49122,14779520
tubo3_R3D.dv - C=1,30,02:30.8,00:00.2,No Label,0,1,30,134.7116089,283.835907,2.297383768,4,0.574345942,119.183185,314.1815393,2.005767822,-1.12020874,19644.10933,14983.18446,4405,49218,14733082
tubo3_R3D.dv - C=1,31,02:30.8,00:00.2,No Label,0,1,31,136.3694916,283.0672913,1.827387519,4,0.45684688,114.8731422,314.2033253,1.65788269,-0.768615723,20215.53467,15167.70576,4423,50016,15161651
tubo3_R3D.dv - C=1,32,02:30.8,00:00.2,No Label,0,1,32,137.3065186,282.6404114,1.029682471,4,0.257420618,114.4926073,314.2271188,0.937026978,-0.426879883,20251.80933,15176.28365,4171,50607,15188857
tubo3_R3D.dv - C=1,33,02:30.8,00:00.2,No Label,0,1,33,138.0957794,282.3959045,0.826266485,4,0.206566621,107.2126623,314.3531314,0.789260864,-0.244506836,19921.484,14990.44585,4399,48876,14941113
tubo3_R3D.dv - C=1,34,02:30.8,00:00.2,No Label,0,1,34,138.9963684,281.8975525,1.029279017,4,0.257319754,118.9585914,314.302753,0.900588989,-0.498352051,20183.39867,15178.97828,4520,50989,15137549
tubo3_R3D.dv - C=1,35,02:30.8,00:00.3,No Label,0,1,35,139.7817078,281.7475891,0.799529185,4,0.199882296,100.8107767,314.5165016,0.785339355,-0.149963379,19771.892,14833.77665,4433,49788,14828919
tubo3_R3D.dv - C=1,36,02:30.8,00:00.3,No Label,0,1,36,140.6874847,281.2882996,1.015568227,4,0.253892057,116.8881576,314.5092619,0.905776978,-0.459289551,19956.79067,14999.26817,4427,50075,14967593
tubo3_R3D.dv - C=1,37,02:30.8,00:00.3,No Label,0,1,37,141.2951813,281.0942688,0.637920852,4,0.159480213,107.7077968,314.6081947,0.607696533,-0.194030762,19692.25467,13926.39767,4268,47482,14769191
tubo3_R3D.dv - C=1,38,02:30.9,00:00.3,No Label,0,1,38,142.2848663,280.4111328,1.202560307,4,0.300640077,124.6157139,314.4445684,0.989685059,-0.683135986,22101.51467,15664.54801,4473,52183,16576136
tubo3_R3D.dv - C=1,39,02:30.9,00:00.3,No Label,0,1,39,143.2252655,279.9076233,1.066711037,4,0.266677759,118.1656342,314.4228908,0.94039917,-0.503509521,21168.22667,14772.50343,4633,50509,15876170
tubo3_R3D.dv - C=1,40,02:30.9,00:00.3,No Label,0,1,40,144.1261597,279.7008972,0.924308372,4,0.231077093,102.9238796,314.6505074,0.900894165,-0.206726074,21369.06267,14665.65775,4810,50120,16026797
tubo3_R3D.dv - C=1,41,02:30.9,00:00.3,No Label,0,1,41,145.0765839,279.3952942,0.998348316,4,0.249587079,107.8249648,314.8157328,0.950424194,-0.305603027,20600.80533,14267.20961,4260,48270,15450604
tubo3_R3D.dv - C=1,42,02:30.9,00:00.3,No Label,0,1,42,145.8724823,279.0334778,0.874279952,4,0.218569988,114.4466997,314.8626094,0.795898438,-0.361816406,20283.03333,14099.57394,4764,48534,15212275
tubo3_R3D.dv - C=1,43,02:30.9,00:00.3,No Label,0,1,43,146.8377991,278.7508545,1.00583915,4,0.251459788,106.3189474,315.0609118,0.965316772,-0.282623291,20278.61467,14073.7016,4740,49062,15208961
tubo3_R3D.dv - C=1,44,02:30.9,00:00.3,No Label,0,1,44,147.6806793,278.5038452,0.878328354,4,0.219582088,106.3335142,315.2363793,0.842880249,-0.247009277,19932.03067,13675.21736,4785,46887,14949023
tubo3_R3D.dv - C=1,45,02:30.9,00:00.3,No Label,0,1,45,148.7370453,278.4703979,1.056895347,4,0.264223837,91.81360354,315.7031377,1.056365967,-0.033447266,20861.164,14082.96482,4625,49032,15645873
tubo3_R3D.dv - C=1,46,02:30.9,00:00.3,No Label,0,1,46,150.0122986,278.1282654,1.320350583,4,0.330087646,105.0180906,316.0047812,1.275253296,-0.342132568,20825.832,13795.399,4798,47291,15619374
tubo3_R3D.dv - C=1,47,02:30.9,00:00.3,No Label,0,1,47,151.0417633,277.9475708,1.045202442,4,0.26130061,99.95539418,316.3360023,1.029464722,-0.18069458,20591.65467,13485.67363,4411,47534,15443741
tubo3_R3D.dv - C=1,48,02:30.9,00:00.3,No Label,0,1,48,152.2237396,277.7298889,1.201854159,4,0.30046354,100.4351881,316.7111588,1.181976318,-0.217681885,20874.612,13659.27488,4852,46509,15655959
tubo3_R3D.dv - C=1,49,02:30.9,00:00.3,No Label,0,1,49,152.9565887,277.5239563,0.761233261,4,0.190308315,105.6955982,316.8836764,0.732849121,-0.205932617,20133.40667,13256.86016,4611,46381,15100055
tubo3_R3D.dv - C=1,50,02:30.9,00:00.4,No Label,0,1,50,153.8227081,277.4025574,0.874585895,4,0.218646474,97.97891974,317.196476,0.866119385,-0.121398926,19968.65733,13445.70533,4412,45989,14976493
tubo3_R3D.dv - C=1,51,02:30.9,00:00.4,No Label,0,1,51,154.7101898,277.2137146,0.907350727,4,0.226837682,102.0126073,317.4628898,0.887481689,-0.188842773,19482.11733,13425.85609,4800,46425,14611588
tubo3_R3D.dv - C=1,52,02:30.9,00:00.4,No Label,0,1,52,155.305191,277.1688232,0.596692288,4,0.149173072,94.31472885,317.7141151,0.595001221,-0.044891357,19748.228,13244.02624,4570,46952,14811171
tubo3_R3D.dv - C=1,53,02:30.9,00:00.4,No Label,0,1,53,155.8408661,276.9419556,0.581735937,4,0.145433984,112.9535958,317.7785743,0.535675049,-0.226867676,20285.06,13883.14773,4797,49702,15213795
tubo3_R3D.dv - C=1,54,02:31.0,00:00.4,No Label,0,1,54,156.5339813,276.9985657,0.695423204,4,0.173855801,85.33080999,318.1683402,0.693115234,0.056610107,19146.09333,13156.42982,4264,46443,14359570
tubo3_R3D.dv - C=1,55,02:31.0,00:00.4,No Label,0,1,55,157.4982758,276.8592529,0.974305802,4,0.24357645,98.22079212,318.5227665,0.964294434,-0.139312744,19406.22667,12821.31138,4721,44621,14554670
tubo3_R3D.dv - C=1,56,02:31.0,00:00.4,No Label,0,1,56,157.9596252,276.7877808,0.466852889,4,0.116713222,98.80632879,318.6890629,0.461349487,-0.071472168,20173.54133,13666.24677,4652,45942,15130156
tubo3_R3D.dv - C=1,57,02:31.0,00:00.4,No Label,0,1,57,158.8822784,276.8617249,0.925611502,4,0.231402876,85.41801617,319.2115178,0.922653198,0.073944092,19257.896,13213.29781,4884,46930,14443422
tubo3_R3D.dv - C=1,58,02:31.0,00:00.4,No Label,0,1,58,159.6676788,276.6678772,0.808968904,4,0.202242226,103.8643857,319.4352547,0.785400391,-0.193847656,19265.40133,13385.46616,4541,45912,14449051
tubo3_R3D.dv - C=1,59,02:31.0,00:00.4,No Label,0,1,59,160.5357819,276.7206421,0.869705122,4,0.217426281,86.52180981,319.9156936,0.868103027,0.052764893,18500.98533,13074.01253,4518,44468,13875739
tubo3_R3D.dv - C=1,60,02:31.0,00:00.4,No Label,0,1,60,161.1435242,276.8355408,0.618508223,4,0.154627056,79.29418859,320.3203896,0.60774231,0.114898682,18708.16,12936.73615,4639,47237,14031120
tubo3_R3D.dv - C=1,61,02:31.0,00:00.4,No Label,0,1,61,161.5206604,276.5412903,0.478346199,4,0.11958655,127.962294,320.2561615,0.37713623,-0.294250488,18640.316,13144.44257,4413,47044,13980237
tubo3_R3D.dv - C=1,62,02:31.0,00:00.4,No Label,0,1,62,162.1779938,276.4803162,0.660155291,4,0.165038823,95.29966116,320.5355938,0.657333374,-0.060974121,18941.744,13221.82504,4480,46342,14206308
tubo3_R3D.dv - C=1,63,02:31.0,00:00.4,No Label,0,1,63,162.3480377,276.4454346,0.17358476,4,0.04339619,101.5925142,320.5915839,0.170043945,-0.034881592,19570.50533,13288.84921,4687,46268,14677879
tubo3_R3D.dv - C=1,64,02:31.0,00:00.4,No Label,0,1,64,162.5417328,276.3020325,0.241001954,4,0.060250488,126.5144952,320.5661056,0.193695068,-0.1434021,18204.76,12360.75624,4666,43700,13653570
tubo3_R3D.dv - C=1,65,02:31.0,00:00.4,No Label,0,1,65,163.71521,276.1867371,1.179127519,4,0.29478188,95.61144373,321.0635197,1.173477173,-0.11529541,18830.83467,13094.44827,4702,46765,14123126
tubo3_R3D.dv - C=1,66,02:31.0,00:00.5,No Label,0,1,66,164.3764801,276.0283813,0.679966714,4,0.169991678,103.4672151,321.2651468,0.661270142,-0.158355713,18386.588,12320.18071,4362,42866,13789941
tubo3_R3D.dv - C=1,67,02:31.0,00:00.5,No Label,0,1,67,164.6013641,275.9714661,0.23197452,4,0.05799363,104.2026919,321.3313853,0.224884033,-0.056915283,18558.31733,12769.98059,4807,46156,13918738
tubo3_R3D.dv - C=1,68,02:31.0,00:00.5,No Label,0,1,68,165.5286255,275.6011963,0.998455468,4,0.249613867,111.7676835,321.4898836,0.927261353,-0.370269775,17845.57067,12334.50073,4474,43589,13384178
tubo3_R3D.dv - C=1,69,02:31.1,00:00.5,No Label,0,1,69,166.2789459,275.6089478,0.750360473,4,0.187590118,89.40818118,321.8834881,0.750320435,0.007751465,18171.28133,12187.72092,4528,42824,13628461
tubo3_R3D.dv - C=1,70,02:31.1,00:00.5,No Label,0,1,70,166.5302124,275.5916748,0.251859482,4,0.06296487,93.93260766,321.9985759,0.251266479,-0.017272949,18071.29733,12338.26374,4441,44325,13553473
tubo3_R3D.dv - C=1,71,02:31.1,00:00.5,No Label,0,1,71,167.569458,275.2981262,1.079908422,4,0.269977105,105.7731198,322.2864899,1.039245605,-0.293548584,17821.35467,12283.3786,4712,43797,13366016
