"fl.nm","var.nm","ts.nm","min","25%.quant","median","mean","75%.quant","max","sd","mad","iqr.1","1%.quant","99%.quant","iqr.2","period.pgram","period.ar"
"GROWTH.RAW_Arab_Col-0_Kymo_190815-A.txt","growth.raw","raw",-3.422,1.924,2.926,3.287,4.382,12.94,2.19972453879819,1.76618041766332,2.4574373646665,-1.35108428879171,10.8394801132232,12.190564402015,0.833333333333333,0.773643410852713
"GROWTH.RAW_Arab_Col-0_Kymo_190815-A.txt","growth.raw","smth",-3.161,1.928,2.926,3.287,4.368,12.95,2.18659294116501,1.77573639814541,2.44030816669355,-1.10751256448732,10.8026313902712,11.9101439547586,0.833333333333333,0.773643410852713
"GROWTH.RAW_Arab_Col-0_Kymo_190815-A.txt","growth.raw","osc",-4.735,-1.149,-0.1412,-3.527e-17,1.038,7.672,1.7465928832182,1.599462449969,2.18688517783585,-3.94903031726436,6.21588289645779,10.1649132137222,0.833333333333333,0.773643410852713
"GROWTH.RAW_Arab_Col-0_Kymo_190815-A.txt","growth.raw","trend",0.3536,2.529,3.272,3.287,4.086,6.433,1.20077014129918,1.15141199425694,1.55714861865845,0.434691758932678,6.37470622560046,5.94001446666778,23.3333333333333,Inf
"GROWTH.SMTH_Arab_Col-0_Kymo_190815-A.txt","growth.smth","raw",-3.385,1.982,2.943,3.286,4.344,12.66,2.13523926956796,1.72513463533592,2.36282971482888,-1.28910168890586,10.4480363014967,11.7371379904026,0.833333333333333,Inf
"GROWTH.SMTH_Arab_Col-0_Kymo_190815-A.txt","growth.smth","smth",-3.157,1.984,2.937,3.286,4.33,12.65,2.1240435445549,1.71264310319323,2.34579099498599,-1.08377980008446,10.4406973659074,11.5244771659919,0.833333333333333,0.792063492063492
"GROWTH.SMTH_Arab_Col-0_Kymo_190815-A.txt","growth.smth","osc",-4.476,-1.121,-0.1,-8.832e-18,0.9856,7.164,1.66786012412455,1.53772669937677,2.1070657545677,-3.82619631858676,5.82976120151186,9.65595752009863,0.833333333333333,0.792063492063492
"GROWTH.SMTH_Arab_Col-0_Kymo_190815-A.txt","growth.smth","trend",0.3483,2.529,3.272,3.286,4.086,6.432,1.20123079632754,1.15202008418079,1.55764598749927,0.429454486389401,6.3738257964858,5.9443713100964,23.3333333333333,Inf
"TIP.FLUO_Arab_Col-0_Kymo_190815-A.txt","tip.fluo","raw",-241.8,65.54,140.2,182.7,280.3,1332,200.680165880764,147.219577268178,214.752590124163,-174.385294396221,854.548238239478,1028.9335326357,23.4,Inf
"TIP.FLUO_Arab_Col-0_Kymo_190815-A.txt","tip.fluo","smth",-241,65.89,141.1,182.7,280.5,1206,199.128055278096,147.838854301599,214.649465624163,-174.512596047446,845.969184244203,1020.48178029165,23.4,Inf
"TIP.FLUO_Arab_Col-0_Kymo_190815-A.txt","tip.fluo","osc",-341.6,-76.46,-4.946,1.937e-15,76.98,641,125.039409743605,113.019486781765,153.437315266001,-304.408542186706,331.050150080786,635.458692267491,0.835714285714286,0.899099099099099
"TIP.FLUO_Arab_Col-0_Kymo_190815-A.txt","tip.fluo","trend",-94.91,64.6,168.2,182.7,260.7,566.9,146.011380686365,148.572073456107,196.085763976809,-85.8567968924903,554.717877303708,640.574674196198,23.4,Inf
"SHANK.FLUO_Arab_Col-0_Kymo_190815-A.txt","shank.fluo","raw",-355.5,-41.02,0,13.54,50.85,1163,167.632450130146,68.6763856379179,91.868921996791,-317.69948694254,893.61097155773,1211.31045850027,1.56,1.75087719298246
"SHANK.FLUO_Arab_Col-0_Kymo_190815-A.txt","shank.fluo","smth",-355.9,-42.41,0,13.54,50.95,1154,164.987165555073,70.9552688037949,93.3579541967457,-316.133484836856,858.094655853177,1174.22814069003,1.56,1.70598290598291
"SHANK.FLUO_Arab_Col-0_Kymo_190815-A.txt","shank.fluo","osc",-431.7,-48.21,1.978,-9.967e-16,49.53,730.7,127.268907264429,73.4711677235829,97.7380384262097,-292.643733713495,447.615769177235,740.259502890729,1.56,1.70598290598291
"SHANK.FLUO_Arab_Col-0_Kymo_190815-A.txt","shank.fluo","trend",-125.1,-17.38,-0.8148,13.54,14.16,425.2,84.1787249421385,23.7407218188156,31.542474768823,-115.880234111673,410.478886675812,526.359120787486,2.6,Inf
